Model,Method,Replicate,RF,FN,FP
1000M4,FastTree (GTR),R8,118.0,0.02620967741935484,0.03303303303303303
1000M4,FastTree (JC),R8,126.0,0.028225806451612902,0.035035035035035036
1000M4,NJ (JC),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,NJ (LogDet),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,NJ (p-distance),R8,1216.0,0.3029233870967742,0.3078078078078078
1000M4,FastTree (GTR),R2,129.0,0.024427480916030534,0.04054054054054054
1000M4,FastTree (JC),R2,141.0,0.02748091603053435,0.04354354354354354
1000M4,NJ (JC),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,NJ (LogDet),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,NJ (p-distance),R2,815.0,0.1989821882951654,0.2122122122122122
1000M4,FastTree (GTR),R0,152.0,0.03194726166328601,0.04454454454454455
1000M4,FastTree (JC),R0,166.0,0.035496957403651115,0.04804804804804805
1000M4,NJ (JC),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,NJ (LogDet),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,NJ (p-distance),R0,1178.0,0.2920892494929006,0.3013013013013013
1000M4,FastTree (GTR),R10,119.0,0.02574457344775366,0.03403403403403404
1000M4,FastTree (JC),R10,131.0,0.028773346794548207,0.037037037037037035
1000M4,NJ (JC),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,NJ (LogDet),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,NJ (p-distance),R10,1411.0,0.3518425037859667,0.35735735735735735
1000M4,FastTree (GTR),R17,117.0,0.02523977788995457,0.033533533533533534
1000M4,FastTree (JC),R17,157.0,0.0353356890459364,0.04354354354354354
1000M4,NJ (JC),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,NJ (LogDet),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,NJ (p-distance),R17,1141.0,0.28369510348308935,0.2897897897897898
1000M4,FastTree (GTR),R7,157.0,0.03486609398686205,0.044044044044044044
1000M4,FastTree (JC),R7,179.0,0.0404244567963618,0.04954954954954955
1000M4,NJ (JC),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,NJ (LogDet),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,NJ (p-distance),R7,1017.0,0.2521475492673067,0.25925925925925924
1000M4,FastTree (GTR),R3,145.0,0.028498727735368958,0.04454454454454455
1000M4,FastTree (JC),R3,161.0,0.03256997455470738,0.04854854854854855
1000M4,NJ (JC),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,NJ (LogDet),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,NJ (p-distance),R3,1021.0,0.2513994910941476,0.26376376376376376
1000M4,FastTree (GTR),R9,115.0,0.022323693556570268,0.03553553553553553
1000M4,FastTree (JC),R9,121.0,0.023845763571790968,0.037037037037037035
1000M4,NJ (JC),R9,1061.0,0.26230339928970065,0.2722722722722723
1000M4,NJ (LogDet),R9,1061.0,0.26230339928970065,0.2722722722722723
